months_as_customer,age,policy_state,policy_csl,policy_deductible,policy_annual_premium,education_level,occupation,incident_type,collision_type,incident_severity,authorities_contacted,auto_make,auto_year,total_claim_amount,vehicle_age,claim_ratio,fraud_reported
103,69,OH,500/1000,2000,1595,High School,tech-support,Vehicle Theft,Rear Collision,Total Loss,Ambulance,Ford,2005,113727,19,71.30219435736677,1
131,39,OH,250/500,1000,2933,High School,tech-support,Multi-vehicle Collision,Rear Collision,Minor Damage,None,Toyota,2011,157730,13,53.777702011592226,1
190,79,IL,250/500,2000,2399,Masters,tech-support,Vehicle Theft,Front Collision,Total Loss,Ambulance,Toyota,2003,88313,21,36.81242184243435,0
242,75,OH,250/500,500,1863,Masters,exec-managerial,Single Vehicle Collision,Side Collision,Total Loss,Fire,Toyota,1998,199193,26,106.92055823939882,1
390,71,IN,250/500,500,1202,College,sales,Multi-vehicle Collision,Rear Collision,Major Damage,None,Honda,2010,12534,14,10.427620632279535,1
296,38,OH,250/500,2000,1576,College,tech-support,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,Toyota,1995,49984,29,31.715736040609137,0
472,28,IL,100/300,2000,918,High School,exec-managerial,Single Vehicle Collision,Rear Collision,Total Loss,Fire,Toyota,2022,23662,2,25.775599128540303,1
33,65,IL,500/1000,1000,2251,High School,exec-managerial,Multi-vehicle Collision,Side Collision,Total Loss,Police,Ford,1999,140182,25,62.2754331408263,1
218,72,IL,250/500,2000,892,Masters,exec-managerial,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,Ford,2001,123096,23,138.0,1
485,40,IL,100/300,2000,1040,High School,exec-managerial,Vehicle Theft,Side Collision,Major Damage,None,Honda,2004,65044,20,62.542307692307695,1
28,61,IN,250/500,2000,2163,College,exec-managerial,Single Vehicle Collision,Side Collision,Major Damage,Police,Toyota,2019,198914,5,91.96208969024504,0
259,56,IN,500/1000,500,817,High School,tech-support,Vehicle Theft,Rear Collision,Total Loss,Ambulance,Honda,2018,69840,6,85.48347613219094,1
442,69,IN,500/1000,1000,2136,High School,tech-support,Vehicle Theft,Front Collision,Major Damage,Fire,Honda,2017,91084,7,42.642322097378276,0
130,70,IN,250/500,2000,1335,Masters,exec-managerial,Vehicle Theft,Front Collision,Total Loss,Fire,Toyota,2014,107081,10,80.21048689138577,1
144,50,OH,500/1000,1000,2294,Masters,exec-managerial,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,Ford,2014,140752,10,61.35658238884045,1
338,57,OH,500/1000,500,2469,Masters,exec-managerial,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,Honda,2010,108512,14,43.94977723774807,1
304,79,OH,100/300,2000,2556,High School,exec-managerial,Vehicle Theft,Side Collision,Major Damage,None,Toyota,2018,161371,6,63.13419405320814,1
